Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,Mapped Location
5120,7AVUNINN,7TH AVE & UNION ST NB,false,false,,AIRPORT - DOWNTOWN HOTELS,
5455,CM5_4,Temporary Bay 4,false,false,,HERMAN,
2762,23ACLASF,23RD AVE N & CLARKSVILLE PIKE SB,false,false,22,BORDEAUX,
4079,21ACHUSN,21ST AVE N & CHURCH ST SB,false,true,25,MIDTOWN,
4133,GRWHIWN,GREEN LN & WHITES CREEK PIKE WB,false,false,41,GOLDEN VALLEY,"(36.236249, -86.816722)"
4083,Z9AEDGSN,_ 9TH AVE S & EDGEHILL AVE SB,false,false,8,8TH AVENUE SOUTH,"(36.142642, -86.780897)"
5066,MXODONEL,DONELSON/DELL STATION OUTBOUND,true,false,"15,55",MURFREESBORO PIKE,"(36.105615, -86.672004)"
94,17ADORSN,17TH AVE S & DOROTHY PL SB,false,false,2,BELMONT,"(36.137623, -86.795609)"
3219,COC14AWN,COCKRILL ST & 14TH AVE N,false,false,42,ST. CECILIA - CUMBERLAND,"(36.175944, -86.804242)"
4842,WED18AWN,WEDGEWOOD AVE & 18TH AVE S WB,false,false,21,UNIVERSITY CONNECTOR,"(36.137212, -86.796865)"
1393,MAI7SEN,MAIN ST & N 7TH  ST EB,false,true,"26,30",GALLATIN PIKE,"(36.174379, -86.761018)"
46,12ALAWNN,12TH AVE S & LAWRENCE AVE NB,false,false,17,12TH AVENUE SOUTH,"(36.129319, -86.788814)"
4351,FAILEWWn,FAIN ST & LEWIS ST WB,false,false,25,MIDTOWN,"(36.1518, -86.757849)"
4954,DOVMOOEF,DOVERSIDE DR & MOORWOOD DR EB,false,false,23,DICKERSON ROAD,"(36.240342, -86.772854)"
4713,OLDHANWN,OLD HICKORY BLVD & HANKINS ST WB,false,false,76,MADISON CONNECTOR,"(36.263215, -86.700124)"
1826,ROWBUESN,ROWAN DR & BUENA VISTA PIKE SB,false,false,14,WHITES CREEK,"(36.21714, -86.819509)"
4130,MCFDOUNN,MCFERRIN AVE & DOUGLAS AVE NB,false,false,30,McFERRIN,"(36.193302, -86.753829)"
4979,28AHERNN,28TH AVE N & HERMAN ST NB,false,false,21,UNIVERSITY CONNECTOR,"(36.161575, -86.819214)"
4599,GALTWISN,GALLATIN PIKE & TWIN HILLS DR SB,false,false,26,GALLATIN PIKE,"(36.3022, -86.692787)"
3693,SHADAISN,SHAKERTOWN RD & DAISY TRL SB,false,false,38,ANTIOCH EXPRESS,"(36.077159, -86.597214)"
358,BATCRAWN,BATTLEFIELD DR & CRAIG AVE WB,false,false,8,8TH AVENUE SOUTH,
12,10ASDONN,10TH AVE S & S DOUGLAS AVE NB,false,false,17,12TH AVENUE SOUTH,"(36.13031, -86.785797)"
