primary_key,incident_number,report_type,report_type_description,incident_status_code,incident_status_description,investigation_status,incident_occurred,incident_reported,incident_location,latitude,longitude,zip_code,location_code,location_description,offense_number,offense_nibrs,offense_description,weapon_primary,weapon_description,victim_number,domestic_related,victim_type,victim_description,mapped_location,victim_gender,victim_race,victim_ethnicity,victim_county_resident
20230470925_32,20230470925,D,DISPATCHED,O,OPEN,Open,2023-08-10T18:04:00.000,2023-08-10T18:58:00.000,SHEPHERD HILLS DR,36.3,-86.69,NA,22,"RESIDENCE, HOME",3,220,BURGLARY - AGGRAVATED,01,HANDGUN,2,TRUE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230227104_12,20230227104,D,DISPATCHED,O,OPEN,Open,2023-04-17T18:00:00.000,2023-04-18T12:49:00.000,NA,NA,NA,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,09,PERSONAL (HANDS),2,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,NON RESIDENT
20230453427_11,20230453427,D,DISPATCHED,O,OPEN,Open,2023-08-02T23:58:00.000,2023-08-02T23:58:00.000,WHITE BRIDGE PKE,36.16,-86.77,NA,90,APARTMENT,1,220,BURGLARY - AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,B,Non-Hispanic,RESIDENT
20230453427_12,20230453427,D,DISPATCHED,O,OPEN,Open,2023-08-02T23:58:00.000,2023-08-02T23:58:00.000,WHITE BRIDGE PKE,36.16,-86.77,NA,90,APARTMENT,1,220,BURGLARY - AGGRAVATED,17,NONE,2,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230430933_11,20230430933,D,DISPATCHED,O,OPEN,Open,2023-07-21T16:00:00.000,2023-07-22T23:35:00.000,TUPELO,36.04,-86.62,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230211343_11,20230211343,D,DISPATCHED,A,CLEARED BY ARREST,Closed,2023-04-10T22:00:00.000,2023-04-10T23:08:00.000,585 585,36.283,-86.796,37189,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,09,PERSONAL (HANDS),1,TRUE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230227104_11,20230227104,D,DISPATCHED,O,OPEN,Open,2023-04-17T18:00:00.000,2023-04-18T12:49:00.000,NA,NA,NA,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,09,PERSONAL (HANDS),1,FALSE,B,BUSINESS,,NA,NA,NA,NA
20230322423_11,20230322423,D,DISPATCHED,O,OPEN,Open,2023-06-02T03:45:00.000,2023-06-02T06:34:00.000,DELLWAY VILLA RD,36.21,-86.76,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,09,PERSONAL (HANDS),1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230467392_11,20230467392,D,DISPATCHED,O,OPEN,Open,2023-08-02T19:00:00.000,2023-08-09T11:00:00.000,CROSS TIMBERS DR,36.08,-86.94,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Hispanic,RESIDENT
20230447498_11,20230447498,D,DISPATCHED,O,OPEN,Open,2023-07-30T21:00:00.000,2023-07-31T09:53:00.000,CANNON ST,36.15,-86.76,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,09,PERSONAL (HANDS),1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Hispanic,RESIDENT
20230319322_31,20230319322,D,DISPATCHED,O,OPEN,Open,2023-05-31T21:25:00.000,2023-05-31T22:15:00.000,GALLATIN,36.26,-86.71,NA,22,"RESIDENCE, HOME",3,220,BURGLARY- AGGRAVATED,06,LETHAL/CUTTING INSTRUMENT,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230337738_11,20230337738,D,DISPATCHED,O,OPEN,Open,2023-06-09T08:30:00.000,2023-06-09T12:49:00.000,BRICK CHURCH PKE,36.24,-86.78,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230464757_11,20230464757,D,DISPATCHED,O,OPEN,Open,2023-02-01T12:00:00.000,2023-08-08T11:38:00.000,DALEMERE DR,36.28,-86.76,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230463146_11,20230463146,D,DISPATCHED,A,CLEARED BY ARREST,Closed,2023-08-07T19:23:00.000,2023-08-07T20:34:00.000,808 808,36.249,-86.748,37115,90,APARTMENT,1,220,BURGLARY - AGGRAVATED,09,PERSONAL (HANDS),1,TRUE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230313979_11,20230313979,D,DISPATCHED,O,OPEN,Open,2023-05-29T16:57:00.000,2023-05-29T17:36:00.000,UNIVERSITY CT,36.15,-86.76,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,09,PERSONAL (HANDS),1,TRUE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230476603_11,20230476603,D,DISPATCHED,O,OPEN,Open,2023-08-12T17:00:00.000,2023-08-13T10:25:00.000,OLD FRANKLIN,36.04,-86.63,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,16,Unarmed,1,FALSE,B,BUSINESS,,NA,NA,NA,NA
20230477815_11,20230477815,S,SUSPECT,O,OPEN,Open,2023-08-14T01:38:00.000,2023-08-14T01:42:00.000,GLASTONBURY RD,36.13,-86.7,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230282815_11,20230282815,D,DISPATCHED,O,OPEN,Open,2023-05-13T02:30:00.000,2023-05-14T23:39:00.000,NA,36.14,-86.87,NA,18,OUTBUILDING,1,220,BURGLARY - AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230002574_11,20230002574,D,DISPATCHED,O,OPEN,Open,2023-01-02T03:00:00.000,2023-01-02T15:19:00.000,THUSS AV,36.1,-86.74,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230002574_12,20230002574,D,DISPATCHED,O,OPEN,Open,2023-01-02T03:00:00.000,2023-01-02T15:19:00.000,THUSS AV,36.1,-86.74,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,17,NONE,2,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230002742_11,20230002742,D,DISPATCHED,O,OPEN,Open,2023-01-01T16:00:00.000,2023-01-02T18:08:00.000,DAVIDSON RD,36.13,-86.9,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230447569_11,20230447569,D,DISPATCHED,O,OPEN,Open,2023-07-26T16:15:00.000,2023-07-31T10:42:00.000,NA,NA,NA,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,07,CLUB,1,FALSE,B,BUSINESS,,NA,NA,NA,NA
20230315069_11,20230315069,D,DISPATCHED,O,OPEN,Open,2023-05-01T08:30:00.000,2023-05-30T08:30:00.000,DENSON AV,36.25,-86.71,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,NON RESIDENT
20230330096_11,20230330096,D,DISPATCHED,O,OPEN,Open,2023-06-01T20:00:00.000,2023-06-06T03:42:00.000,FISK ST,36.16,-86.8,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230327291_11,20230327291,D,DISPATCHED,O,OPEN,Open,2023-06-02T12:00:00.000,2023-06-04T23:26:00.000,KERMIT DR,36.12,-86.7,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Hispanic,RESIDENT
20230326590_11,20230326590,D,DISPATCHED,O,OPEN,Open,2023-06-04T12:00:00.000,2023-06-04T13:04:00.000,OAKWOOD AVE,36.22,-86.75,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230004350_11,20230004350,D,DISPATCHED,O,OPEN,Open,2023-01-03T11:19:00.000,2023-01-03T14:16:00.000,BAKERTOWN RD,36.07,-86.69,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230004016_11,20230004016,D,DISPATCHED,O,OPEN,Open,2023-01-03T06:00:00.000,2023-01-03T09:14:00.000,RAMBLINGWOOD CT,36.09,-86.65,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,B,Non-Hispanic,RESIDENT
20230464903_11,20230464903,D,DISPATCHED,O,OPEN,Open,2023-08-08T12:00:00.000,2023-08-08T13:23:00.000,ELM HILL,36.15,-86.7,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230447631_11,20230447631,D,DISPATCHED,O,OPEN,Open,2023-07-26T16:15:00.000,2023-07-31T10:42:00.000,NA,NA,NA,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,07,CLUB,1,FALSE,B,BUSINESS,,NA,NA,NA,NA
20230447630_11,20230447630,D,DISPATCHED,O,OPEN,Open,2023-07-26T16:15:00.000,2023-07-31T10:42:00.000,NA,NA,NA,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,07,CLUB,1,FALSE,B,BUSINESS,,NA,NA,NA,NA
20230454811_11,20230454811,D,DISPATCHED,O,OPEN,Open,2023-05-01T18:11:00.000,2023-08-03T18:11:00.000,POWERS AVE,36.19,-86.73,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230326775_11,20230326775,D,DISPATCHED,O,OPEN,Open,2023-05-28T13:00:00.000,2023-06-04T15:49:00.000,TAMPA DR,36.08,-86.71,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,A,Non-Hispanic,NON RESIDENT
20230335472_11,20230335472,D,DISPATCHED,O,OPEN,Open,2023-06-06T12:45:00.000,2023-06-08T09:49:00.000,MOSSDALE DR,36.08,-86.63,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230005538_11,20230005538,D,DISPATCHED,O,OPEN,Open,2023-01-03T11:15:00.000,2023-01-03T23:44:00.000,YELTON CT,36.09,-86.73,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,09,PERSONAL (HANDS),1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230001651_11,20230001651,D,DISPATCHED,A,CLEARED BY ARREST,Closed,2023-01-02T03:26:00.000,2023-01-02T03:26:00.000,21 21,36.147,-86.761,37210,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,09,PERSONAL (HANDS),1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230007637_11,20230007637,D,DISPATCHED,O,OPEN,Open,2023-01-02T04:00:00.000,2023-01-04T22:36:00.000,CHARLES E DAVIS BLVD,36.15,-86.76,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230333733_11,20230333733,D,DISPATCHED,O,OPEN,Open,2023-06-07T01:23:00.000,2023-06-07T17:19:00.000,W HAMILTON RD,36.21,-86.85,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,07,CLUB,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,B,Non-Hispanic,RESIDENT
20230006608_11,20230006608,D,DISPATCHED,O,OPEN,Open,2023-01-03T21:00:00.000,2023-01-04T12:37:00.000,COTTONWOOD DR,36.16,-86.66,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,15,OTHER,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230313089_12,20230313089,D,DISPATCHED,O,OPEN,Open,2023-05-29T02:27:00.000,2023-05-29T02:27:00.000,AUTUMN DR,36.08,-86.61,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,07,CLUB,2,FALSE,I,INDIVIDUAL (18 AND OVER),,M,B,Non-Hispanic,RESIDENT
20230313089_11,20230313089,D,DISPATCHED,O,OPEN,Open,2023-05-29T02:27:00.000,2023-05-29T02:27:00.000,AUTUMN DR,36.08,-86.61,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,07,CLUB,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230480180_21,20230480180,D,DISPATCHED,A,CLEARED BY ARREST,Closed,2023-08-15T02:11:00.000,2023-08-15T03:05:00.000,2207 2207,36.249,-86.641,37138,22,"RESIDENCE, HOME",2,220,BURGLARY - AGGRAVATED,09,PERSONAL (HANDS),1,TRUE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230002950_11,20230002950,S,SUSPECT,A,CLEARED BY ARREST,Closed,2023-01-02T19:18:00.000,2023-01-02T23:12:00.000,2305 2305,36.211,-86.795,37207,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,09,PERSONAL (HANDS),1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230328095_11,20230328095,D,DISPATCHED,O,OPEN,Open,2023-06-04T23:00:00.000,2023-06-05T12:13:00.000,BRENDA LN,36.06,-86.69,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,A,Non-Hispanic,RESIDENT
20230333482_11,20230333482,D,DISPATCHED,O,OPEN,Open,2023-06-07T13:20:00.000,2023-06-07T13:20:00.000,HOBSON,36.04,-86.61,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,B,BUSINESS,,NA,NA,NA,NA
20230333098_11,20230333098,D,DISPATCHED,O,OPEN,Open,2023-06-06T04:30:00.000,2023-06-07T08:24:00.000,JANSING DR,36.08,-86.69,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,NON RESIDENT
20230005663_21,20230005663,D,DISPATCHED,O,OPEN,Open,2023-01-04T00:00:00.000,2023-01-04T01:00:00.000,PRESERVE,36.03,-86.61,NA,22,"RESIDENCE, HOME",2,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
