NAME,state,county,tract,population,median_income
"Census Tract 190.04, Davidson County, Tennessee",47,037,019004,4470,44001
"Census Tract 190.07, Davidson County, Tennessee",47,037,019007,2904,48485
"Census Tract 190.08, Davidson County, Tennessee",47,037,019008,6005,50512
"Census Tract 191.05, Davidson County, Tennessee",47,037,019105,5707,48271
"Census Tract 191.06, Davidson County, Tennessee",47,037,019106,4336,65323
"Census Tract 191.08, Davidson County, Tennessee",47,037,019108,3478,34893
"Census Tract 191.09, Davidson County, Tennessee",47,037,019109,5347,57039
"Census Tract 191.10, Davidson County, Tennessee",47,037,019110,3604,55553
"Census Tract 191.11, Davidson County, Tennessee",47,037,019111,4715,47700
"Census Tract 191.12, Davidson County, Tennessee",47,037,019112,5013,69821
"Census Tract 191.15, Davidson County, Tennessee",47,037,019115,3661,121094
"Census Tract 191.16, Davidson County, Tennessee",47,037,019116,7353,77293
"Census Tract 191.17, Davidson County, Tennessee",47,037,019117,5490,91602
"Census Tract 191.18, Davidson County, Tennessee",47,037,019118,5628,56881
"Census Tract 191.19, Davidson County, Tennessee",47,037,019119,7406,104307
"Census Tract 191.20, Davidson County, Tennessee",47,037,019120,4081,84365
"Census Tract 191.21, Davidson County, Tennessee",47,037,019121,3667,110233
"Census Tract 192, Davidson County, Tennessee",47,037,019200,3853,64760
"Census Tract 193, Davidson County, Tennessee",47,037,019300,3498,18387
"Census Tract 194.01, Davidson County, Tennessee",47,037,019401,2339,52571
"Census Tract 194.02, Davidson County, Tennessee",47,037,019402,4008,92939
"Census Tract 195.01, Davidson County, Tennessee",47,037,019501,2141,70231
"Census Tract 195.02, Davidson County, Tennessee",47,037,019502,3115,66982
"Census Tract 195.03, Davidson County, Tennessee",47,037,019503,3508,85335
"Census Tract 196, Davidson County, Tennessee",47,037,019600,3828,60951
"Census Tract 9801, Davidson County, Tennessee",47,037,980100,0,-666666666
"Census Tract 9802, Davidson County, Tennessee",47,037,980200,0,-666666666
"Census Tract 101.03, Davidson County, Tennessee",47,037,010103,2411,60000
"Census Tract 101.04, Davidson County, Tennessee",47,037,010104,3002,84831
